"book","project","stretch","prosodic","momentum","sentencelength","prosaic","notissue","bigabstraction","memorize","pagecanvas","communicationvolume","contentvolume","shock","humor","sound","argument","structural","otherattributes","loose","historical","associative","variedregister","syntax","breakrules","mainpoint","meta","scan","abstractthinking","explanation","realworld","singleself","authorflag","flag0","flag1","flag2","consistent","shortline","mediumline","longline","asserts","absurd","logical","low","middle","high","coherentlinear","coherentjumping","absurdsurreal","causeeffectyes","causeeffectno"
"Averno",0,0,2,4,4,2,0,1,1,0,2,3,0,0,2,1,1,2,2,0,2,2,4,2,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Averno",0,0,3,3,3,4,0,1,1,0,1,1,0,0,2,1,1,2,4,0,3,2,2,2,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"Averno",1,0,2,4,3,4,0,1,0,0,1,2,0,0,2,1,1,1,4,0,2,2,2,2,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Ban en Banlieu",1,1,3,4,4,2,0,1,0,0,4,5,1,0,3,1,1,4,4,1,4,2,4,4,1,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Beast Feast",1,1,5,4,3,1,1,0,1,1,5,5,1,0,5,1,0,4,4,1,5,4,5,5,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Birds of Tifft",1,1,4,4,3,3,0,0,0,1,3,2,0,1,3,0,0,4,4,0,3,2,3,3,0,0,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Birds With Teeth",1,1,3,3,3,2,1,1,1,1,5,3,1,0,3,1,0,3,5,0,4,2,4,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Black Aperture",1,0,4,3,3,2,0,1,1,0,2,4,0,0,3,1,0,3,3,0,3,2,2,2,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"Blessing the Boats",0,1,2,3,2,4,0,1,1,0,1,5,1,0,1,1,0,1,5,0,1,1,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
"Bluets",1,0,2,4,3,4,0,1,1,0,2,3,0,1,2,1,1,1,4,0,4,2,2,1,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Bluets",1,1,1,3,4,4,0,1,1,0,2,4,0,0,1,1,1,1,4,1,4,4,2,1,1,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"Bluets",1,1,1,3,3,4,0,1,1,0,2,3,0,1,1,1,1,1,4,0,4,3,2,1,1,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"Body Thesaurus",1,0,5,3,3,1,0,1,0,0,4,5,1,0,5,1,0,4,2,0,5,4,5,5,1,0,0,4,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"Boyfriend Mountain",1,0,2,4,3,4,0,1,1,0,1,2,0,1,1,1,0,1,5,0,4,2,1,1,1,0,0,4,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"Burn This House",1,0,4,5,3,3,0,1,1,0,3,3,0,0,2,1,0,3,4,0,4,4,4,3,1,0,0,4,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"Call Me Ishmael Tonight",1,0,5,2,2,1,0,1,0,0,1,3,0,0,4,1,0,4,1,1,4,1,4,2,1,0,1,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
"Cameo select poems with biographical narrative",1,1,3,4,3,3,0,1,0,1,3,3,0,0,3,0,1,4,4,0,3,3,3,3,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Campeche",1,0,5,4,4,4,0,1,1,0,4,4,0,0,5,1,0,2,1,0,2,4,4,3,1,0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"Capacity",1,1,4,5,4,1,0,1,0,0,3,3,0,0,2,1,1,2,3,0,1,1,5,4,1,0,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
"Cathedrals and Highrise",1,0,5,4,3,3,0,1,1,0,3,4,0,0,3,1,0,1,2,1,2,2,2,1,1,0,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"Coeur de Lion",1,0,1,5,5,5,0,1,0,0,3,4,1,1,2,1,1,1,3,0,3,2,2,2,1,0,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"Collected Poems",0,0,5,1,2,1,1,1,1,0,3,3,0,0,4,1,0,3,1,0,2,2,4,4,1,0,1,4,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0
"Conspiracy of Beauty",0,1,3,2,4,2,0,1,1,0,3,4,0,0,3,1,1,3,4,0,4,2,3,4,1,1,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"Correct Animal",0,0,2,2,2,2,1,1,1,0,1,1,0,1,1,1,0,4,4,0,4,2,1,2,0,0,0,4,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Covers",1,1,5,4,4,3,0,1,0,1,2,3,0,1,3,1,1,2,2,1,2,4,3,3,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"Crevasse",0,1,4,4,2,4,0,0,0,0,2,5,1,1,3,0,0,4,3,1,4,4,2,3,1,1,0,4,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"Dark Green",0,1,4,4,3,3,0,1,1,1,3,3,0,0,3,1,0,2,3,0,3,3,3,3,1,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Dear Alain",1,1,5,4,4,4,1,1,0,1,4,5,0,1,3,1,1,2,2,0,5,5,3,4,0,1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"Dear Weather Ghost",0,0,3,4,2,1,0,1,1,1,4,2,0,1,4,1,0,3,4,0,4,5,2,4,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"Desiring Map",1,1,4,3,3,1,1,0,0,1,2,3,0,0,3,1,0,3,4,1,4,3,4,4,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Dirty Bomb",0,0,3,4,4,4,0,1,1,0,2,2,0,0,2,1,0,2,3,0,4,2,2,3,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Don't Let Me Be Lonely",1,1,1,4,4,5,0,1,0,0,1,3,0,0,1,1,1,1,2,0,4,3,3,1,1,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"Dowry Meat",0,1,3,4,2,2,1,0,1,0,2,5,1,0,2,0,0,4,5,0,3,4,2,4,1,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Earthly Use",1,1,5,5,3,3,0,1,1,0,2,4,0,0,4,1,0,3,2,1,1,5,4,2,1,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Electrical Theories of Femininity",1,1,3,5,3,1,1,1,0,1,1,3,0,0,1,1,0,1,5,1,5,3,4,5,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Elegy",1,1,3,5,5,5,0,1,0,0,3,5,0,0,3,1,1,2,5,1,3,3,4,3,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
"eraser poems",1,0,3,5,1,5,0,1,1,0,2,2,1,1,1,1,1,1,4,1,1,3,1,2,1,1,0,3,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"Ethical Consciousness",0,1,2,4,5,1,0,1,1,1,4,2,0,0,3,1,1,3,5,1,5,4,4,2,0,0,0,4,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"Eunoia",1,1,5,4,3,1,0,1,0,1,3,3,1,1,5,1,0,5,1,0,5,5,5,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eunoia",1,1,4,4,3,2,1,0,1,0,4,3,1,1,5,0,0,5,1,0,4,4,4,2,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Eunoia",1,1,5,3,3,3,1,0,1,0,4,4,1,1,5,1,0,5,1,0,4,5,3,4,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"Even Though I Don't Miss You",1,1,2,3,4,2,0,1,1,0,4,2,1,1,3,1,0,2,4,0,4,2,4,4,0,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"Eyelid Lick",1,1,3,5,5,4,0,1,0,1,5,5,1,1,4,1,0,3,5,1,5,5,5,5,0,1,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"Eyelid Lick",1,1,3,4,4,4,0,1,0,1,5,4,1,1,4,1,0,3,5,1,5,5,4,4,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"Eyelid Lick",1,1,3,4,4,2,0,0,1,1,4,4,1,1,3,1,1,2,5,0,4,4,3,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"Eyes Like Broken Windows",0,0,2,5,4,4,0,1,1,0,4,5,1,0,1,1,1,1,4,1,2,2,4,2,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"F",1,1,2,4,3,2,0,1,1,1,2,4,1,0,3,1,0,2,4,1,4,5,4,3,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
"Fanny Says",1,1,3,5,5,3,0,1,0,0,2,3,1,1,5,1,1,1,5,0,1,1,2,3,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"Fantasy",1,0,2,4,3,4,1,1,0,0,3,3,1,1,3,1,1,3,4,1,4,5,4,5,0,1,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Father Figures",1,0,3,4,4,4,0,0,1,0,2,4,0,0,2,1,1,1,4,0,4,1,3,3,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"Featherbone",1,1,4,5,3,1,1,0,0,1,4,2,1,0,5,0,0,4,5,0,5,5,5,5,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feelings Above Sea Level",0,1,2,3,5,1,0,1,1,0,3,4,0,0,2,1,0,2,4,1,4,2,4,4,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"Festival",1,1,4,2,3,3,0,1,1,0,4,4,1,0,4,1,0,3,5,1,4,5,4,4,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fiddle is Flood",0,1,4,2,4,1,0,1,1,1,2,4,1,0,2,0,0,3,2,1,4,2,4,4,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Flash Cards",1,1,2,2,3,3,0,0,1,1,2,4,1,1,3,1,0,4,4,1,4,5,2,3,1,1,0,4,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Fortune's Favor: Scott in Antarctica",1,0,5,2,3,1,0,1,0,0,1,4,0,0,4,1,1,3,1,1,1,1,3,1,1,0,1,2,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"Forty-one Jane Doe's",1,1,2,3,3,2,0,1,0,0,2,3,0,0,3,1,0,2,5,0,4,4,3,3,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Glossolalia",1,1,2,4,3,4,0,1,1,1,1,4,0,0,2,1,0,4,3,1,3,2,2,4,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"God Damsel",1,1,3,3,4,2,1,1,0,1,3,4,0,1,4,1,0,3,4,0,3,4,3,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Good Eurydice",0,1,4,4,3,2,1,1,1,1,4,3,0,0,4,1,0,4,5,1,4,5,4,5,0,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"Graffiti Signatures",0,1,3,3,3,3,0,1,1,1,3,4,0,0,3,1,1,4,3,0,4,2,3,3,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Handiwork",1,1,5,3,2,1,1,0,1,1,2,4,0,0,5,0,0,5,1,1,5,4,5,5,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hapax",0,0,5,3,4,2,0,0,1,0,3,2,0,0,5,1,0,3,2,0,1,3,4,2,1,0,1,3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"Heliopause",0,0,2,4,2,3,0,1,1,1,3,3,0,1,3,1,0,3,4,1,4,3,2,3,0,1,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"Herculaneum's Fortune",1,0,3,3,1,2,1,1,1,1,1,3,0,0,2,0,0,3,4,0,4,3,3,3,1,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Herculaneum's Fortune",1,1,3,4,2,2,1,1,1,1,2,4,0,0,2,1,0,3,5,1,2,4,3,3,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"Hermead Vol 1",1,0,5,5,5,4,0,1,1,1,3,5,0,1,3,1,1,2,2,1,1,2,4,2,1,0,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0
"Histories of the Future Perfect",1,1,4,5,5,1,1,1,1,0,3,4,0,0,4,1,0,4,3,1,5,2,5,5,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Howl and Other Poems",0,1,3,3,5,3,0,1,0,0,5,5,1,0,3,1,1,1,4,1,2,4,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"I Live in a Hut",0,0,4,3,2,1,0,1,1,0,2,5,1,1,2,1,0,2,5,0,5,5,4,2,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1
"i'm alive / it hurts / i love it",1,1,2,4,4,4,0,1,1,0,3,4,0,0,2,0,0,1,5,0,1,5,2,2,1,0,0,4,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"Ignition: Poem Starters, Septolets, Statements and Double Dog Dares",0,1,2,3,2,2,1,1,1,0,4,4,1,1,3,1,0,1,4,1,2,2,2,3,1,1,0,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
"Imperial Nostalgias",0,0,4,2,3,1,0,1,1,0,3,3,0,0,3,1,1,3,4,0,4,4,4,3,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"In the ice house",0,1,3,2,3,2,0,0,1,0,2,1,0,0,2,0,1,4,5,0,2,3,2,3,1,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"In The Next Galaxy",0,0,4,4,3,4,0,1,1,0,2,2,1,1,1,1,0,1,3,0,2,4,3,2,1,0,1,4,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"In Ways Impossible to Fold",1,1,4,3,3,1,0,1,1,1,3,3,0,0,2,1,0,5,3,1,5,4,4,4,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Incarnadine",1,1,3,4,4,3,0,1,1,0,1,4,0,0,1,1,1,3,5,1,2,1,3,2,1,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Intervening Absence",1,1,2,4,1,2,0,1,0,0,1,3,0,0,3,1,0,3,4,0,4,4,4,3,0,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
"Invasions",1,0,4,5,5,3,0,1,1,0,4,4,1,0,4,1,1,2,2,1,2,4,4,1,1,0,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"Kill Manual",1,1,2,2,3,4,0,1,0,1,5,5,1,0,4,1,1,5,5,1,4,2,5,5,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Leaves of Grass",1,1,2,4,5,4,0,1,0,0,2,3,1,0,3,1,1,2,4,1,4,2,4,2,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
