"book","project","stretch","prosodic","momentum","sentencelength","prosaic","notissue","bigabstraction","memorize","pagecanvas","communicationvolume","contentvolume","shock","humor","sound","argument","structural","otherattributes","loose","historical","associative","variedregister","syntax","breakrules","mainpoint","meta","scan","abstractthinking","explanation","realworld","singleself","authorflag","flag0","flag1","flag2","consistent","shortline","mediumline","longline","asserts","absurd","logical","low","middle","high","coherentlinear","coherentjumping","absurdsurreal","causeeffectyes","causeeffectno"
"Metamericana",1,1,2,5,5,2,0,1,0,0,2,3,0,1,2,1,1,1,5,1,2,5,5,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Mid Evil",1,0,4,2,4,2,0,1,1,0,1,3,0,0,3,1,1,2,2,1,2,4,3,1,0,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Miss America",0,0,4,3,2,2,1,0,1,0,5,4,0,0,4,1,0,4,4,0,5,3,3,5,0,1,0,5,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"Monozygotic | Codependent",1,0,3,2,2,2,1,1,1,0,2,3,0,0,3,1,1,1,5,0,3,2,2,2,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"More Surface",0,1,1,2,2,1,1,0,1,0,1,1,0,0,1,1,0,3,5,0,2,1,2,3,1,0,0,4,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"Moth Moon",1,1,3,3,4,1,1,1,1,0,2,3,0,0,2,0,0,3,4,1,5,3,3,3,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mr. West",1,1,2,3,3,3,0,1,0,0,2,4,1,0,1,1,1,2,4,1,4,4,2,3,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"My Life In Heaven",1,0,3,2,3,5,0,1,1,0,2,3,0,0,3,0,0,4,4,1,4,2,3,2,0,1,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
"Necessary Turns",0,0,3,3,3,3,1,1,0,0,2,3,0,0,3,0,0,2,4,0,2,3,3,3,1,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"Negro League Baseball",1,1,5,4,3,2,0,0,0,1,3,3,0,0,4,1,0,3,4,1,4,5,4,5,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Of Being Numerous",0,1,2,1,2,1,0,1,0,0,1,4,0,0,2,1,1,3,3,1,4,2,2,3,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"Ordinary Sun",1,0,3,4,5,3,0,0,1,0,2,3,1,0,3,1,1,2,5,1,5,4,4,4,0,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"Orphan City",1,1,2,4,2,3,0,1,1,0,3,4,0,0,1,0,1,2,5,1,2,2,2,2,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"Other Archer",1,1,4,4,3,2,1,1,1,0,3,3,0,0,4,1,0,4,3,1,5,3,4,5,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Other People's Comfort Keeps Me Up At Night",0,1,3,4,3,5,1,0,1,0,2,4,1,1,3,1,0,2,4,1,3,5,3,4,1,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"overtakelessness",1,1,4,4,4,2,0,1,1,1,4,3,0,0,4,1,0,3,4,1,4,4,4,4,1,0,0,3,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
"Paper Doll Fetus",1,0,3,4,4,3,0,1,0,0,2,4,0,0,3,1,1,1,4,1,2,2,4,2,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"Partyknife",1,1,2,1,2,2,0,0,1,0,5,4,1,1,3,1,0,1,5,0,5,3,2,4,0,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"Partyknife",1,0,2,2,4,4,0,1,0,0,5,5,1,1,1,1,0,3,4,1,4,4,3,3,0,0,0,3,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Petrarch Collected Atkins",1,1,5,3,3,1,1,1,1,0,5,1,0,1,5,1,0,2,2,1,4,5,4,3,1,1,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Poems 7",0,1,2,4,4,4,0,1,1,0,3,4,1,1,3,1,1,2,4,0,2,2,4,3,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"Poems Descriptive of Rural Life and Scenery",1,1,5,4,5,2,1,1,0,0,5,5,1,1,5,1,0,4,4,1,5,3,4,5,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poems Descriptive of Rural Life and Scenery",1,1,5,5,5,1,1,1,0,0,5,5,0,1,5,1,0,5,5,1,5,5,5,5,0,1,0,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"poetic. cerul din delft si alte corpuri romanesti",1,1,4,3,3,2,0,1,1,1,2,2,0,0,4,0,1,2,3,1,4,5,5,2,0,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"POP CORPSE!",1,1,4,5,3,1,0,1,0,1,5,5,1,1,5,0,0,3,5,1,3,5,3,4,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"POP CORPSE!",1,0,4,3,2,1,1,1,0,1,5,5,1,1,5,1,1,4,4,1,2,2,3,4,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"Praise",0,0,2,3,3,4,0,1,1,0,1,3,0,0,1,1,1,1,4,0,3,3,4,2,1,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"Really Boomba",1,1,4,4,1,1,1,1,1,1,3,3,1,1,5,1,0,2,2,0,1,1,4,4,0,1,0,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"rel[am]ent",1,1,4,4,4,3,0,1,0,1,4,5,1,1,2,1,1,3,4,0,4,4,4,5,0,0,0,3,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Reliquaria",1,0,5,4,5,3,0,1,0,0,3,5,0,0,5,1,0,3,2,1,4,2,4,4,1,0,1,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
"Remainland",1,1,3,4,2,2,0,1,1,0,3,5,1,0,4,0,0,2,5,0,2,2,4,4,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"Render: An Apocalypse",1,1,5,2,2,1,0,1,1,0,1,3,1,0,5,0,0,1,5,0,2,1,2,3,1,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
"Resurrection Party",0,1,5,3,5,1,0,1,1,0,2,3,0,1,2,1,1,2,3,0,3,4,5,4,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"Reveille",1,0,4,3,4,2,0,1,1,0,2,2,0,0,4,1,0,3,2,0,1,2,3,2,1,0,1,4,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
"Rides",1,1,4,3,3,4,1,1,1,0,3,3,1,1,4,1,0,3,4,1,4,4,3,2,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"Rides",1,1,3,4,5,4,1,0,1,0,4,3,1,1,3,1,0,3,4,0,4,4,2,3,1,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"Robinson Alone",1,1,4,2,2,3,0,0,0,0,2,2,0,1,3,1,0,3,4,1,1,2,3,2,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
"Rose",1,0,4,3,3,3,0,1,1,0,2,2,0,0,3,1,1,3,5,0,4,1,3,1,1,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
"Rousing the Machinery",1,0,2,4,4,2,1,0,0,0,1,3,0,0,4,1,0,2,4,0,4,3,4,2,1,0,0,3,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
"Self-Portrait in a Convex Mirror",0,0,4,5,5,2,0,1,0,0,3,1,0,1,3,1,0,3,4,0,5,4,5,4,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"Self-Portrait in a Convex Mirror",0,0,2,4,4,2,0,0,1,0,3,2,0,1,2,1,0,3,4,0,5,2,5,4,1,1,0,3,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"Sexual Boat (Sex Boats)",0,0,2,2,2,3,0,1,1,0,3,3,1,1,2,1,1,2,5,0,5,4,2,4,0,0,0,4,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1
"Sexual Boat (Sex Boats)",0,0,2,1,3,1,0,1,1,0,5,4,0,1,2,1,0,2,5,0,5,4,4,4,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"Situation Normal",0,0,2,2,2,4,0,1,0,0,2,3,0,1,3,1,1,2,4,0,2,4,2,2,1,0,0,3,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"Sleeping with the Dictionary",0,1,5,5,2,4,1,0,1,0,5,3,0,1,5,0,0,5,4,0,2,5,2,5,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Smiles of the Unstoppable",0,0,3,4,5,1,0,1,1,0,3,4,1,1,3,1,0,2,5,0,4,5,4,4,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"Smoked Pearl",0,1,3,3,3,2,0,1,1,0,4,4,1,0,4,1,1,3,4,1,2,2,3,3,1,0,0,3,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"So Careless of Themselves",1,0,2,3,3,3,0,1,1,0,2,4,1,0,2,1,1,2,5,0,1,3,3,2,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"SOLECISM",1,1,3,3,4,3,1,0,0,1,4,5,0,0,4,0,0,4,5,1,3,3,4,4,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Songs from the Astral Bestiary",1,1,4,5,2,4,1,1,1,1,1,3,0,0,3,1,0,3,5,0,2,2,2,4,0,0,0,4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Star Dust",1,0,4,4,4,2,0,1,0,0,4,4,1,0,3,1,1,2,4,1,2,4,4,3,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"Superior Packets",0,1,4,5,5,3,0,0,1,1,4,2,0,1,3,1,0,3,4,0,2,4,4,4,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Superior Packets",0,0,5,5,5,1,0,1,1,1,3,3,0,1,5,1,1,5,2,0,5,5,5,5,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Texture Notes",1,1,1,5,4,2,0,0,0,0,2,1,0,1,3,1,0,3,4,0,3,2,4,2,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"The 8th House",1,1,2,2,4,2,0,1,1,0,4,4,1,0,4,0,1,3,4,0,5,4,2,2,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"The Accidentalist",0,0,4,4,3,2,0,0,0,0,2,3,0,1,2,1,0,2,5,0,3,4,4,1,1,0,1,3,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
"The Battlefield Where the Moon Says I Love You",1,1,2,4,5,1,0,1,0,0,5,5,1,0,4,1,0,4,5,1,5,2,5,5,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"The Beauty of the Husband",1,1,3,4,3,4,0,1,1,0,3,4,1,0,3,1,1,1,4,0,2,3,4,2,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
"The Black Forest",0,1,2,5,4,4,0,1,1,0,3,3,0,1,3,1,0,2,5,0,4,4,3,2,1,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"The Bone and the Body",1,1,4,4,3,4,0,0,1,1,4,3,0,0,4,1,1,4,4,0,2,2,4,4,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
"The Children's War and Other Poems",1,0,4,4,4,4,0,1,1,0,4,5,1,0,2,1,1,2,4,1,2,2,2,3,0,0,1,2,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"the circle book",1,1,1,1,1,5,1,1,1,1,4,4,1,1,2,0,1,2,5,0,5,5,1,3,1,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Collected Poems of James Elroy Flecker (1916)",0,0,5,4,2,4,0,1,1,0,2,2,0,0,5,1,0,3,1,0,1,2,4,2,1,0,1,4,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
"The Dog Runs On: Poems",0,0,3,4,4,2,1,1,0,0,2,4,0,0,1,1,0,4,5,1,4,2,4,3,1,0,0,4,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"The Evening Sun",1,1,2,5,4,3,0,1,1,0,2,3,0,1,3,1,1,2,4,1,2,1,2,3,0,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"The Future Is Happy",0,1,4,5,3,1,1,1,1,0,3,3,0,1,1,1,0,5,5,0,3,5,5,4,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"The Greenhouse",1,1,4,5,4,1,1,0,0,1,2,3,0,1,4,1,0,3,5,0,4,4,4,4,1,0,0,3,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"The Ground I Stand On Is Not My Ground",1,1,2,4,3,3,0,1,1,1,2,5,0,0,1,1,1,4,2,1,2,3,3,1,1,0,0,2,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"The Homesteader",1,1,4,4,4,2,0,1,1,0,4,4,1,0,4,1,1,3,2,1,4,3,4,3,1,0,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
"The Kimnama",1,0,3,1,3,3,0,1,0,0,3,3,0,0,1,0,0,1,4,0,1,2,2,1,1,0,0,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
"The Last Two Seconds",1,1,2,3,2,1,0,1,0,1,2,4,0,0,3,1,0,2,5,0,1,2,3,2,1,1,0,4,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
"The Law of Second Marriages",1,0,2,2,2,4,0,1,1,0,2,5,1,0,2,1,1,3,4,1,3,2,2,2,1,0,0,3,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
"The Longest You've Lived Anywhere",0,0,5,5,3,1,0,1,1,0,2,2,0,1,1,1,0,4,2,0,3,4,2,2,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"The Metamorphoses",1,1,5,3,5,1,0,1,0,0,3,4,0,1,5,1,0,1,1,1,4,4,5,3,1,0,1,3,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
"The Monarchs",0,0,4,2,3,1,1,1,0,1,3,4,0,1,2,1,0,4,4,0,5,2,4,5,1,0,1,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"The More Difficult Beauty",0,0,4,4,4,3,0,1,1,0,1,5,0,0,3,1,0,1,4,0,3,3,2,2,1,0,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"The Narrow Road to the Deep North and Other Travel Sketches",0,1,2,1,4,2,1,1,1,0,2,4,0,0,4,0,0,2,4,1,4,2,3,4,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"The Night We're Not Sleeping In",1,0,4,3,3,4,0,1,1,0,4,4,0,1,4,1,0,3,5,1,2,5,3,3,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"The Opposite House",1,0,3,3,5,2,0,0,0,0,2,4,0,0,3,0,0,3,4,0,3,2,5,2,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
"The Prisoners",1,0,3,4,3,4,0,1,1,0,3,5,1,1,2,1,1,4,4,0,2,2,3,3,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"The Rova Improvisations",1,1,5,5,2,1,1,0,1,0,5,3,0,0,5,0,0,5,5,0,5,5,5,5,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"The Rova Improvisations",0,0,5,4,2,2,1,0,1,0,2,2,0,0,5,0,0,5,2,1,5,3,4,5,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Self Unstable",1,0,1,2,2,5,0,1,1,0,2,2,0,0,1,1,1,1,5,0,3,2,2,1,1,0,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"The Singing Knives",0,0,1,2,5,1,0,1,1,0,4,5,1,0,4,1,0,2,5,1,4,4,5,4,1,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1
"The Story You Tell Yourself",0,0,4,4,4,3,0,1,0,0,2,2,0,1,2,1,0,3,2,0,2,2,4,1,1,0,1,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"The Waste Land and Other Poems",1,1,4,4,4,4,0,1,0,0,4,4,0,1,4,0,1,3,3,1,4,5,4,2,0,1,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"The World of the Ten Thousand Things",1,1,2,4,5,1,0,1,0,0,2,2,0,0,3,1,0,2,4,1,5,3,4,3,1,0,0,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"These Are the Gloria Stories",1,1,5,5,3,1,0,0,0,1,5,5,0,1,3,1,1,4,5,0,3,4,3,5,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"This Sentimental Education",1,1,3,5,2,5,1,1,0,0,1,1,0,0,5,1,0,3,5,0,5,3,2,5,1,0,0,5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"Toast Is Just Bread That Put Up A Fight",0,1,2,4,3,3,0,0,1,0,4,4,1,1,2,1,0,2,5,0,4,2,2,3,1,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"Trances of the Blast",0,1,2,4,3,4,0,1,1,0,2,3,0,1,2,1,0,3,4,0,4,4,4,3,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Transformations",1,1,5,5,5,2,0,1,0,0,4,4,1,1,4,1,1,2,3,0,1,5,4,3,1,1,0,4,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"Tributaries",1,1,2,2,4,4,0,0,0,0,2,5,1,0,2,1,1,2,5,1,2,4,3,2,0,0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"Tulips, Water, Ash",0,0,4,5,4,1,1,0,1,0,2,2,0,0,3,1,0,3,4,0,4,4,4,5,1,1,0,3,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"Untended Garden (Histories and Reinhabitation in Suburbia)",1,0,4,5,4,3,0,1,0,1,2,2,0,0,2,1,1,3,5,1,2,3,4,4,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Velvet Rodeo",1,1,5,5,4,4,0,1,0,1,3,4,0,0,3,1,1,3,4,1,1,5,4,4,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"War of the Foxes",1,0,4,5,4,4,0,1,0,0,5,4,1,0,2,1,1,1,3,0,3,1,5,2,1,1,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
"War of the Foxes",1,1,3,4,4,3,0,1,1,0,4,4,0,0,4,1,0,2,4,0,4,4,3,3,1,1,0,5,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"War of the Foxes",1,0,3,5,3,4,0,1,1,0,2,3,0,0,2,1,1,1,4,0,3,2,2,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"What is Amazing",0,1,2,2,4,1,0,0,1,0,2,2,1,1,1,1,0,2,4,0,5,4,2,4,1,0,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
"Wild Grass",0,1,3,3,5,2,0,1,0,0,3,4,1,0,4,1,1,2,5,1,2,4,4,2,0,1,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"With Deer",0,1,4,5,5,5,1,1,1,0,5,5,1,0,3,0,1,3,5,0,3,1,2,2,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"Words Under the Words",0,1,4,3,3,4,0,1,0,0,2,2,0,0,3,1,0,2,4,0,2,3,4,4,1,0,0,3,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
"Workers' Compensation: Poems of Labor & the Working Life",0,0,3,4,3,4,0,1,1,0,3,4,0,0,3,0,0,2,3,0,2,2,3,2,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
