"book","label","Factor1","Factor2","Factor3","variable","clust","poet"
"My Life In Heaven","74",0.491183226214966,0.254512940870701,0.358444497662393,"Consistent","3","Mary Ann Samyn"
"Necessary Turns","75",0.576290702649753,0.251045395076443,0.466993222921473,"Consistent","3","Liz Abrams-Morley"
"Negro League Baseball","76",0.347949613656425,0.320520335358941,0.77378428039569,"Consistent","4","Harmony Holiday"
"Of Being Numerous","77",0.696919798979885,0.280741176402231,0.353989481121161,"Consistent","3","George Oppen"
"Ordinary Sun","78",0.439499866702716,0.128161645617224,0.670749056685595,"Consistent","4","Matthew Henriksen"
"Other People's Comfort Keeps Me Up At Night","79",0.460803977525076,0.239764235726383,0.342627958587051,"Consistent","3","Morgan Parker"
"overtakelessness","80",0.579880221972886,0.320423435364622,0.770725658748875,"Consistent","4","Dan Beachy-Quick"
"Paper Doll Fetus","81",0.854959791425213,0.321602174771199,0.695334429822074,"Consistent","1","Cynthia Marie Hoffman"
"Partyknife","83",0.455384791104298,0.150787873775212,0.536370382480946,"Consistent","4","Dan Magers"
"Partyknife","82",0.580134270506965,0.0720305148921556,0.410259699763213,"Consistent","3","Dan Magers"
"Poems 7","84",0.841003093730442,0.246712307936372,0.714454216742636,"Consistent","1","Alan Dugan"
"Poems Descriptive of Rural Life and Scenery","85",0.209179968184626,0.2887614202235,0.838435711256665,"Consistent","5","Tim Earley"
"poetic. cerul din delft si alte corpuri romanesti","86",0.576862497939215,0.698800987717666,0.614179602244882,"Consistent","2","Razvan Tupa"
"POP CORPSE!","87",0.501464512117642,0.343831393742903,0.616516491684285,"Consistent","4","Lara Glenum"
"Praise","88",0.901186460179424,0.244421199658634,0.576345826235099,"Consistent","1","Robert Hass"
"Remainland","89",0.412541428752911,0.217794896672401,0.515371846470541,"Consistent","4","Aase Berg"
"Render: An Apocalypse","90",0.669154819648925,0.332377718123989,0.23039868785791,"Consistent","3","Rebecca Gayle Howell"
"Reveille","91",0.765974197308839,0.891500450207133,0.479140410492024,"Consistent","2","George David Clark"
"Rides","92",0.547033508680389,0.316641539255664,0.369145225058918,"Consistent","3","Marcus Slease"
"Robinson Alone","93",0.653792812168462,0.364243679040376,0.45572485486752,"Consistent","3","Kathleen Rooney"
"Rose","94",0.720453557879468,0.248243433019176,0.418110946083514,"Consistent","3","Li-Young Lee"
"Rousing the Machinery","95",0.621533260735082,0.235849491854163,0.657640023172128,"Consistent","4","Catherine MacDonald"
"Self-Portrait in a Convex Mirror","96",0.316166439468675,0.264449047063086,0.895858318785789,"Consistent","4","John Ashbery"
"Self-Portrait in a Convex Mirror","97",0.356969180498298,0.243321472116721,0.698196173548583,"Consistent","4","John Ashbery"
"Sexual Boat (Sex Boats)","98",0.425345729119889,0.0338751259707796,0.30297391241972,"Consistent","4","James Gendron"
"Sleeping with the Dictionary","99",0.142960001320888,0.335609534784823,0.383788659659051,"Consistent","5","Harryette Mullen"
"Smiles of the Unstoppable","100",0.608364234733801,0.17771100145171,0.818987857169412,"Consistent","4","Jason Bredle"
"Songs from the Astral Bestiary","101",0.379904861945128,0.21572894777518,0.198097431188765,"Consistent","3","Tiff Dressen"
"Star Dust","102",0.741860087580949,0.297647045232265,0.834419624996616,"Not consistent","1","Frank Bidart"
"Superior Packets","103",0.535621929337962,0.341576285596396,0.782473685485581,"Consistent","4","Susie Timmons"
"Texture Notes","104",0.605265710612404,0.204434485248184,0.714753156058549,"Consistent","4","Sawako Nakayasu"
"The 8th House","105",0.627882895159576,0.1627336756977,0.468182835602754,"Consistent","4","Feng Sun Chen"
"The Battlefield Where the Moon Says I Love You","106",0.457857082720292,0.149007065792913,1,"Consistent","4","Frank Stanford"
"The Beauty of the Husband","107",0.819254971352491,0.267471676882548,0.632299775117793,"Consistent","1","Anne Carson"
"the circle book","108",0.546474996082235,0,0,"Consistent","3","Sommer Browning"
"The Collected Poems of James Elroy Flecker (1916)","109",0.6844756925288,0.990192690126418,0.482476120512567,"Consistent","2","James Elroy Flecker"
"The Evening Sun","110",0.729304672986298,0.161364458624402,0.502615216687108,"Consistent","1","David Lehman"
"The Homesteader","111",0.740486745428362,0.785128572713439,0.75117888562668,"Consistent","2","A. Van Jordan"
"The Last Two Seconds","112",0.765070509028473,0.278652955400899,0.448845154356714,"Consistent","1","Mary Jo Bang"
"The Law of Second Marriages","113",0.743913826867782,0.195612479083642,0.242821083039797,"Consistent","3","Christine Chia"
"The Longest You've Lived Anywhere","114",0.63190652784356,0.869342597329936,0.379579802965957,"Consistent","2","Bruce Taylor"
"The Metamorphoses","115",0.764577209441069,0.886822205923813,0.918228658471103,"Consistent","2","Publius Ovidius Naso (Ovid)"
"The Narrow Road to the Deep North and Other Travel Sketches","116",0.5550852821037,0.23777390156042,0.454507796566011,"Consistent","3","Basho"
"The Opposite House","117",0.614109949863822,0.372398065781214,0.806719122837299,"Consistent","4","Claudia Emerson"
"The Prisoners","118",0.684105321622532,0.313478175733973,0.52199332123821,"Consistent","1","Ace Boggess"
"The Rova Improvisations","119",0,0.323936361505986,0.702742024946975,"Consistent","5","Clark Coolidge"
"The Rova Improvisations","120",0.120439278585381,0.497814438202088,0.552084353007003,"Consistent","5","Clark Coolidge"
"The Self Unstable","121",0.831619106949251,0.0965143043806547,0.178907528100196,"Consistent","3","Elisa Gabbert"
"The Singing Knives","122",0.461895099513019,0.157664489590538,0.713693483875927,"Consistent","4","Frank Stanford"
"The World of the Ten Thousand Things","123",0.662522978603382,0.192971561291968,0.803448337811219,"Consistent","4","Charles Wright"
"Trances of the Blast","124",0.568205625094351,0.222633382450455,0.585939043344232,"Consistent","4","Mary Ruefle"
"Transformations","125",0.728765597736282,0.412646020830597,0.836054986856724,"Consistent","1","Anne Sexton"
"Velvet Rodeo","126",0.577572104984379,0.413116886031075,0.704156438524938,"Consistent","1","Kelly McQuain"
"War of the Foxes","127",0.807420954854543,0.366247090159333,0.95586733689043,"Consistent","1","Richard Siken"
"War of the Foxes","128",0.586827698823256,0.228489785790899,0.606372230647605,"Consistent","4","Richard Siken"
"War of the Foxes","129",0.874447885240289,0.217621327803698,0.414174375821884,"Consistent","1","Richard Siken"
"What is Amazing","130",0.56136662614565,0.177621598156707,0.435529434231263,"Consistent","3","Heather Christle"
"Wild Grass","131",0.748820258247164,0.206629884257161,0.82063453233494,"Consistent","1","Lu Xun"
"With Deer","132",0.647162503580456,0.191953309723421,0.585462428773085,"Consistent","4","Aase Berg"
"Words Under the Words","133",0.682491589953523,0.307417170609707,0.696923503685336,"Consistent","1","Naomi Shihab Nye"
